,index,clds,daypart_name,dow,icon_code,phrase_32char,chance of rain,precip_type,humidity,temperature,wdir,wind speed,date,place,lat,lon,temperatureC
0,0,43,Afternoon,Tuesday,30,Partly Cloudy,0,rain,66,49,322,15,2017-11-07 13:00:00,Truro,50.2632,-5.051,9.4452
1,1,36,Evening,Tuesday,29,Partly Cloudy,24,rain,68,47,313,12,2017-11-07 19:00:00,Truro,50.2632,-5.051,8.334
2,2,50,Overnight,Wednesday,29,Partly Cloudy,24,rain,72,46,331,11,2017-11-08 01:00:00,Truro,50.2632,-5.051,7.7783999999999995
3,3,34,Morning,Wednesday,30,Partly Cloudy,4,rain,70,49,342,11,2017-11-08 07:00:00,Truro,50.2632,-5.051,9.4452
4,4,59,Afternoon,Wednesday,30,Partly Cloudy,24,rain,68,51,320,10,2017-11-08 13:00:00,Truro,50.2632,-5.051,10.5564
5,5,98,Evening,Wednesday,11,Light Rain,40,rain,88,49,256,7,2017-11-08 19:00:00,Truro,50.2632,-5.051,9.4452
6,6,99,Overnight,Thursday,26,Cloudy,24,rain,92,53,290,12,2017-11-09 01:00:00,Truro,50.2632,-5.051,11.6676
7,7,94,Morning,Thursday,26,Cloudy,23,rain,88,54,321,14,2017-11-09 07:00:00,Truro,50.2632,-5.051,12.2232
8,8,77,Afternoon,Thursday,26,Cloudy,24,rain,89,55,320,13,2017-11-09 13:00:00,Truro,50.2632,-5.051,12.7788
9,9,73,Evening,Thursday,26,Cloudy,20,rain,95,53,300,14,2017-11-09 19:00:00,Truro,50.2632,-5.051,11.6676
10,10,82,Overnight,Friday,26,Cloudy,10,rain,92,53,292,17,2017-11-10 01:00:00,Truro,50.2632,-5.051,11.6676
11,11,95,Morning,Friday,11,Showers,40,rain,88,55,295,17,2017-11-10 07:00:00,Truro,50.2632,-5.051,12.7788
12,12,87,Afternoon,Friday,26,Cloudy,24,rain,87,55,284,17,2017-11-10 13:00:00,Truro,50.2632,-5.051,12.7788
13,13,86,Evening,Friday,11,Few Showers/Wind,33,rain,87,53,276,22,2017-11-10 19:00:00,Truro,50.2632,-5.051,11.6676
14,14,96,Overnight,Saturday,11,Showers/Wind,43,rain,86,53,293,22,2017-11-11 01:00:00,Truro,50.2632,-5.051,11.6676
15,15,98,Morning,Saturday,11,Showers,45,rain,84,53,302,19,2017-11-11 07:00:00,Truro,50.2632,-5.051,11.6676
16,16,91,Afternoon,Saturday,11,Few Showers,35,rain,78,52,332,15,2017-11-11 13:00:00,Truro,50.2632,-5.051,11.112
17,17,56,Evening,Saturday,29,Partly Cloudy,9,rain,75,49,349,14,2017-11-11 19:00:00,Truro,50.2632,-5.051,9.4452
18,18,64,Overnight,Sunday,27,Mostly Cloudy,11,rain,73,48,345,15,2017-11-12 01:00:00,Truro,50.2632,-5.051,8.8896
19,19,46,Morning,Sunday,30,Partly Cloudy,4,rain,69,49,345,15,2017-11-12 07:00:00,Truro,50.2632,-5.051,9.4452
20,20,53,Afternoon,Sunday,30,Partly Cloudy,1,rain,64,50,342,15,2017-11-12 13:00:00,Truro,50.2632,-5.051,10.0008
21,21,81,Evening,Sunday,26,Cloudy,1,rain,69,47,344,11,2017-11-12 19:00:00,Truro,50.2632,-5.051,8.334
22,22,45,Overnight,Monday,29,Partly Cloudy,2,rain,77,45,337,9,2017-11-13 01:00:00,Truro,50.2632,-5.051,7.222799999999999
23,23,47,Morning,Monday,30,Partly Cloudy,7,rain,76,48,318,10,2017-11-13 07:00:00,Truro,50.2632,-5.051,8.8896
24,24,71,Afternoon,Monday,28,Mostly Cloudy,19,rain,79,49,277,11,2017-11-13 13:00:00,Truro,50.2632,-5.051,9.4452
25,25,87,Evening,Monday,26,Cloudy,24,rain,92,47,264,11,2017-11-13 19:00:00,Truro,50.2632,-5.051,8.334
26,26,95,Overnight,Tuesday,11,Few Showers,38,rain,93,48,254,11,2017-11-14 01:00:00,Truro,50.2632,-5.051,8.8896
27,27,95,Morning,Tuesday,11,Showers,40,rain,87,52,268,11,2017-11-14 07:00:00,Truro,50.2632,-5.051,11.112
28,28,80,Afternoon,Tuesday,11,Showers,40,rain,83,52,258,11,2017-11-14 13:00:00,Truro,50.2632,-5.051,11.112
29,29,83,Evening,Tuesday,26,Cloudy,23,rain,89,50,255,9,2017-11-14 19:00:00,Truro,50.2632,-5.051,10.0008
30,30,91,Overnight,Wednesday,26,Cloudy,24,rain,85,48,272,9,2017-11-15 01:00:00,Truro,50.2632,-5.051,8.8896
31,31,81,Morning,Wednesday,26,Cloudy,24,rain,79,51,272,9,2017-11-15 07:00:00,Truro,50.2632,-5.051,10.5564
